시설명,주소,경도,위도
신성경로당,경상남도 창원시 의창구 대산면 대산북로 517,128.694018011,35.367742596
수성경로당,경상남도 창원시 의창구 대산면 대산북로 568-15,128.699984750,35.366614204
북모산경로당,경상남도 창원시 의창구 대산면 대산북로751번길 5,128.714500189,35.356365056
남모산경로당,경상남도 창원시 의창구 대산면 모산길 34,128.711617925,35.354136089
송등경로당,경상남도 창원시 의창구 대산면 진산대로506번길 46-18,128.715521563,35.347383208
북가술경로당,경상남도 창원시 의창구 대산면 가술길 37,128.706776693,35.337439486
해강그린아파트경로당,"경상남도 창원시 의창구 대산면 진산대로 437, 1206호 (해강아파트)",128.708300551,35.338686849
남가술경로당,경상남도 창원시 의창구 대산면 가술길 13-1,128.707315891,35.335334475
남가술부인경로당,경상남도 창원시 의창구 대산면 주남로 559-7,128.707146196,35.333824465
가촌경로당,경상남도 창원시 의창구 대산면 봉강가술로 471번길 34-13,128.699934379,35.336110363
장등경로당,경상남도 창원시 의창구 대산면 주남로483번길 22,128.702282945,35.328829314
신등경로당,경상남도 창원시 의창구 대산면 가술산남로 65,128.692336396,35.324124098
신동경로당,경상남도 창원시 의창구 대산면 가술산남로12번길 22-2,,
백양경로당 ,경상남도 창원시 의창구 대산면 가술산남로130번길 24,128.688456522,35.329548544
주남경로당,경상남도 창원시 의창구 대산면 주남로327번길 35-44 ,128.689683751,35.315856882
대방경로당,경상남도 창원시 의창구 대산면 봉강가술로358번길 28-5,128.688473505,35.344952283
대방여성경로당,경상남도 창원시 의창구 대산면 봉강가술로 421,128.694885589,35.341777520
제동경로당,경상남도 창원시 의창구 대산면 제동길 39-17,128.712669546,35.334271916
제동부인경로당,경상남도 창원시 의창구 대산면 제동길 24-2,128.711467247,35.332809514
중앙경로당,경상남도 창원시 의창구 대산면 주남로394번길 33 5통 5반,128.699430508,35.318004862
삼봉경로당,경상남도 창원시 의창구 대산면 진산대로292번길 35,128.717539033,35.329035968
대진경로당,경상남도 창원시 의창구 대산면 진남로114번길 57,128.712305856,35.317369579
상포부녀경로당,경상남도 창원시 의창구 대산면 진남로114번길 143,128.714668999,35.324345402
상등경로당,경상남도 창원시 의창구 대산면 주남로416번길 17,128.702045178,35.322761214
고등포경로당,경상남도 창원시 의창구 대산면 주남로394번길 55,128.699860024,35.315872303
남포경로당,경상남도 창원시 의창구 대산면 진남로 69-10,128.708607776,35.309513818
우암마을경로당,경상남도 창원시 의창구 대산면 북부로10번길32,128.725854166,35.340584594
덕현경로당,경상남도 창원시 의창구 대산면 우암로 27,128.729070077,35.334835056
월림경로당,경상남도 창원시 의창구 대산면 우암로79번길 6 -1,128.732065958,35.330870785
신곡부인경로당,경상남도 창원시 의창구 대산면 우암로 100,128.732589175,35.329028016
신곡경로당,경상남도 창원시 의창구 대산면 우암로 139,128.736017959,35.327575613
용등경로당,경상남도 창원시 의창구 대산면 우암로 183,128.739849290,35.326192282
중포마을경로당,경상남도 창원시 의창구 대산면 진산대로260번길 84 ,128.722877401,35.322073076
동부경로당,경상남도 창원시 의창구 대산면 대산북로899번길 11,128.724529327,35.347803531
서부경로당,경상남도 창원시 의창구 대산면 대산북로893번길 28,128.722418916,35.348936081
유청경로당,경상남도 창원시 의창구 대산면 유등로 366,128.744098354,35.343370106
유등경로당,경상남도 창원시 의창구 대산면 유등로 413,128.747969202,35.345254829
유등부인경로당,경상남도 창원시 의창구 대산면 유등로387번길 10,128.744736258,35.345446608
동곡경로당,경상남도 창원시 의창구 대산면 유등남길40번길 6,128.735760501,35.333226089
