city_name,city_code,routeid,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime
김해시,38070,GHB16,26,지선버스,롯데아울렛(기점),롯데워터파크,0535,2245,,,
김해시,38070,GHB17,30,지선버스,풍유동차고지,옥천소류지,0555,2150,,,
김해시,38070,GHB18,35,지선버스,외동차고지,양동,0700,2200,,,
김해시,38070,GHB19,44,지선버스,외동차고지,진영공설운동장,0530,2200,,,
김해시,38070,GHB20,56,지선버스,풍유동차고지,진영시외주차장,0520,2150,,,
김해시,38070,GHB21,57,지선버스,진영시외주차장,모정,0720,2130,,,
김해시,38070,GHB22,58-1,지선버스,풍유동차고지,모정,0555,2050,,,
김해시,38070,GHB23,5-1,지선버스,풍유동차고지,감분마을,0500,2130,,,
김해시,38070,GHB24,59-1,지선버스,외동차고지(종점),봉림,0550,2130,,,
김해시,38070,GHB25,60,지선버스,풍유동차고지,마사,0520,2150,,,
김해시,38070,GHB26,61,지선버스,풍유동차고지,도요,0540,2100,,,
김해시,38070,GHB27,7,지선버스,외동차고지,어방동,0450,2235,,,
김해시,38070,GHB28,82,지선버스,외동차고지,상동매리농협,0800,2110,,,
김해시,38070,GHB29,97,지선버스,선암,창원대학교종점,0500,2150,,,
김해시,38070,GHB30,98,지선버스,선암,창원대학교종점,0520,2220,,,
김해시,38070,GHB31,44A,지선버스,외동차고지,진영공설운동장,,,,,
김해시,38070,GHB32,4,지선버스,풍유동차고지,봉림양수장,0720,2200,,,
김해시,38070,GHB33,21-1B,지선버스,외동차고지(종점),대청초등학교,2100,2200,,,
김해시,38070,GHB34,6,지선버스,외동차고지(종점),화목4통풋살구장,0600,2150,,,
김해시,38070,GHB35,11,지선버스,상룡,동산,0640,2050,,,
김해시,38070,GHB36,대동공영,지선버스,풍유동차고지,덕산,0600,2100,,,
김해시,38070,GHB37,59-1B,지선버스,외동차고지(종점),안하,,,,,
김해시,38070,GHB38,140,지선버스,외동차고지,마산시외버스터미널,0440,2200,,,
김해시,38070,GHB39,13,지선버스,롯데아울렛(기점),진영시외주차장,0555,2020,,,
김해시,38070,GHB40,15,지선버스,진영시외주차장,롯데아울렛(기점),0620,1940,,,
김해시,38070,GHB41,상동공영1,지선버스,외동차고지(종점),상동매리농협,0750,2000,,,
김해시,38070,GHB42,상동공영2,지선버스,외동차고지(종점),상동매리농협,0800,2100,,,
김해시,38070,GHB43,83,지선버스,상동매리농협,안막3구,0700,2105,,,
김해시,38070,GHB44,3-1,지선버스,외동차고지,율하시티프라디움,0500,2240,,,
김해시,38070,GHB45,3,지선버스,풍유동차고지,김해터미널(정문),0610,2120,,,
