rigeon1,nodeid1,routeid1
38010,CWB379003016,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000197,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379002012,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379030000']"
38010,CWB379002014,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379030000']"
38010,CWB379002016,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379030000']"
38010,CWB379003532,"['CWB379000010', 'CWB379000030']"
38010,CWB379003375,"['CWB379000010', 'CWB379000030', 'CWB379030000']"
38010,CWB379000152,"['CWB379000010', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379003383,"['CWB379000010', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379003104,"['CWB379000010', 'CWB379000310', 'CWB379000370', 'CWB379000410', 'CWB379000490']"
38010,CWB379005413,"['CWB379000010', 'CWB379000310', 'CWB379000410']"
38010,CWB379000150,"['CWB379000010', 'CWB379000020', 'CWB379000030', 'CWB379000310', 'CWB379000360', 'CWB379000370', 'CWB379000410']"
38010,CWB379000142,"['CWB379000010', 'CWB379000020', 'CWB379000310', 'CWB379000360', 'CWB379000410']"
38010,CWB379000109,"['CWB379000010', 'CWB379000020', 'CWB379000310', 'CWB379000360', 'CWB379000410']"
38010,CWB379000074,"['CWB379000010', 'CWB379000020', 'CWB379000310', 'CWB379000360', 'CWB379000410']"
38010,CWB379003116,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379002019,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003252,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003283,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003117,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379002863,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000029,"['CWB379000010', 'CWB379000310', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000024,"['CWB379000010', 'CWB379000310', 'CWB379000320', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000023,"['CWB379000010', 'CWB379000310', 'CWB379000320', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003118,"['CWB379000010', 'CWB379000310', 'CWB379000320', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379003119,"['CWB379000010', 'CWB379000030', 'CWB379000310', 'CWB379000320', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379000033,"['CWB379000010', 'CWB379000030', 'CWB379000310', 'CWB379000320', 'CWB379000360', 'CWB379000400', 'CWB379000410']"
38010,CWB379002173,"['CWB379000020', 'CWB379000030', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
