gid,lbl,val,point,경도,위도,geometry
라라518727,8.0,8.0,POINT (1051850 1672750),128.06854107720676,35.04846153002347,POINT (1051850.0000000007 1672750)
라라538754,13.0,13.0,POINT (1053850 1675450),128.09064560231488,35.07270233240871,POINT (1053849.9999999995 1675450.0000000005)
라라502679,9.0,9.0,POINT (1050250 1667950),128.05070727349027,35.005260954653465,POINT (1050249.999999999 1667950.0000000007)
라라517757,9.0,9.0,POINT (1051750 1675750),128.06763182657212,35.075517380444126,POINT (1051750.0000000014 1675749.9999999993)
라라528612,45.0,45.0,POINT (1052850 1661250),128.07877515082896,34.94471432619113,POINT (1052849.999999999 1661250)
라라525612,19.0,19.0,POINT (1052550 1661250),128.0754899142994,34.944729934163895,POINT (1052549.999999999 1661250)
라라419734,7.0,7.0,POINT (1041950 1673450),127.96002533347378,35.05523362306528,POINT (1041949.9999999995 1673449.9999999998)
라라536602,31.0,31.0,POINT (1053650 1660250),128.08747146090528,34.93565521541711,POINT (1053650 1660249.9999999998)
라라513668,9.0,9.0,POINT (1051350 1666850),128.06269413893577,34.99528695959501,POINT (1051350.000000001 1666850.0000000005)
라라519703,6.0,6.0,POINT (1051950 1670350),128.06948737159155,35.026815733652505,POINT (1051950.0000000019 1670350.0000000007)
라라517595,37.0,37.0,POINT (1051750 1659550),128.06662383464592,34.929442063244544,POINT (1051750.0000000012 1659550)
라라532766,6.0,6.0,POINT (1053250 1676650),128.0841420153609,35.083554428459045,POINT (1053249.999999999 1676650.0000000005)
라라519593,25.0,25.0,POINT (1051950 1659350),128.0688011426644,34.92762841107474,POINT (1051949.9999999998 1659350)
라라509639,16.0,16.0,POINT (1050950 1663950),128.0581336417115,34.969157783311104,POINT (1050950 1663950.0000000012)
라라493721,6.0,6.0,POINT (1049350 1672150),128.0410937322439,35.043176711390096,POINT (1049350.0000000028 1672149.9999999993)
라라409735,7.0,7.0,POINT (1040950 1673550),127.94906453407428,35.056176419205535,POINT (1040950.0000000002 1673549.9999999998)
