city_name,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime,usage,노선정류장수,노선거리(km),굴곡도,start,end,total_operating_time,interval_avg,num_bus,총인구수,노인(수),인구_대비_정류장수
창원시,224,지선버스,종합터미널,종합터미널,600.0,2200.0,70.0,70.0,90.0,772.0,19.0,8.4,2.2,360.0,1320.0,960.0,72.85714285714286,13,1003731.0,276574.0,52827.94736842105
창원시,225,지선버스,대방동성아파트,대방동종점,600.0,2200.0,64.0,64.0,64.0,273.0,9.0,5.1,1.6,360.0,1320.0,960.0,64.0,15,1003731.0,276574.0,111525.66666666667
창원시,240,지선버스,평성종점,수곡종점,540.0,2130.0,240.0,240.0,240.0,4808.0,80.0,32.2,4.0,340.0,1290.0,950.0,240.0,3,1003731.0,276574.0,12546.6375
창원시,250,지선버스,덕동공영차고지,블루밍아파트,500.0,2235.0,40.0,47.0,66.0,66137.0,150.0,63.1,2.1,300.0,1355.0,1055.0,44.71428571428572,23,1003731.0,276574.0,6691.54
창원시,251,지선버스,해운중학교,안계초등학교,500.0,2251.0,38.0,44.0,53.0,35240.0,91.0,37.4,1.6,300.0,1371.0,1071.0,41.0,26,1003731.0,276574.0,11030.010989010989
창원시,253,지선버스,덕동공영차고지,블루밍아파트,520.0,2230.0,38.0,40.0,40.0,42648.0,96.0,45.6,1.6,320.0,1350.0,1030.0,38.57142857142857,26,1003731.0,276574.0,10455.53125
창원시,254,지선버스,덕동공영차고지,마산대학교종점,510.0,2216.0,29.0,36.0,36.0,61303.0,123.0,54.8,2.0,310.0,1336.0,1026.0,31.0,33,1003731.0,276574.0,8160.414634146341
창원시,256,지선버스,가포고등학교,평성종점,515.0,2220.0,35.0,35.0,35.0,39405.0,82.0,42.9,2.0,315.0,1340.0,1025.0,35.0,29,1003731.0,276574.0,12240.621951219513
창원시,257,지선버스,덕동공영차고지,석교종점,500.0,2130.0,90.0,90.0,90.0,10215.0,119.0,57.2,4.3,300.0,1290.0,990.0,90.0,11,1003731.0,276574.0,8434.714285714286
창원시,258,지선버스,덕동공영차고지,마산대학교종점,500.0,2255.0,96.0,173.0,151.0,51250.0,115.0,51.1,1.8,300.0,1375.0,1075.0,114.85714285714286,9,1003731.0,276574.0,8728.095652173914
창원시,258-1,지선버스,덕동공영차고지,수곡종점,900.0,1555.0,319.0,349.0,343.0,6275.0,118.0,53.2,1.8,540.0,955.0,415.0,326.7142857142857,1,1003731.0,276574.0,8506.194915254237
창원시,258-9,지선버스,덕동공영차고지,용담종점,1331.0,1740.0,144.0,197.0,234.0,6275.0,99.0,49.54012738853503,2.0,811.0,1060.0,249.0,164.42857142857142,1,1003731.0,276574.0,10138.69696969697
창원시,259,지선버스,덕동공영차고지,평성종점,513.0,2237.0,45.0,54.0,54.0,34959.0,97.0,48.5,2.0,313.0,1357.0,1044.0,47.57142857142857,21,1003731.0,276574.0,10347.742268041236
창원시,260,지선버스,수정시내버스환승센터,소계종점,500.0,2225.0,61.0,73.0,93.0,30470.0,123.0,52.8,1.8,300.0,1345.0,1045.0,67.28571428571429,15,1003731.0,276574.0,8160.414634146341
창원시,260-1,지선버스,저도비치로드,소계종점,638.0,638.0,128.1,114.6,118.0,783.0,142.0,63.7,1.8,398.0,398.0,0.0,124.72857142857144,0,1003731.0,276574.0,7068.528169014085
창원시,260-2,지선버스,수정시내버스환승센터,소계종점,1008.0,1547.0,339.0,370.0,370.0,30470.0,131.0,56.6,1.9,608.0,947.0,339.0,347.85714285714283,0,1003731.0,276574.0,7662.0687022900765
창원시,262,지선버스,덕동공영차고지,소계종점,516.0,2245.0,35.0,35.0,44.0,59025.0,110.0,46.7,1.8,316.0,1365.0,1049.0,36.285714285714285,28,1003731.0,276574.0,9124.827272727272
창원시,263,지선버스,수정시내버스환승센터,소계종점,515.0,2120.0,64.0,76.0,76.0,44734.0,128.0,50.5,1.7,315.0,1280.0,965.0,67.42857142857143,14,1003731.0,276574.0,7841.6484375
창원시,263-1,지선버스,수정시내버스환승센터,소계종점,2205.0,2205.0,128.1,114.6,118.0,1082.0,136.0,54.3,1.9,1325.0,1325.0,0.0,124.72857142857144,0,1003731.0,276574.0,7380.375
창원시,264,지선버스,덕동공영차고지,가포LH1단지,600.0,2210.0,60.0,60.0,60.0,3288.0,35.0,23.4,4.2,360.0,1330.0,970.0,60.0,16,1003731.0,276574.0,28678.02857142857
창원시,270,지선버스,합성동무학아파트,합성동무학아파트,600.0,2150.0,90.0,90.0,90.0,332.0,18.0,6.4,1.8,360.0,1310.0,950.0,90.0,10,1003731.0,276574.0,55762.833333333336
창원시,271,지선버스,창원시립마산박물관,창원시립마산박물관,600.0,2200.0,94.0,94.0,94.0,5143.0,15.0,6.0,4.8,360.0,1320.0,960.0,94.0,10,1003731.0,276574.0,66915.4
창원시,272,지선버스,가포LH1단지,어시장,530.0,2150.0,105.0,105.0,105.0,4615.0,44.0,17.4,2.0,330.0,1310.0,980.0,105.0,9,1003731.0,276574.0,22812.06818181818
창원시,273,지선버스,삼학사.경남은행연수원,마산성로원,600.0,2200.0,94.0,94.0,94.0,1567.0,15.0,5.9,1.7,360.0,1320.0,960.0,94.0,10,1003731.0,276574.0,66915.4
창원시,277,지선버스,두릉마을종점,마산역종점,600.0,2100.0,130.0,130.0,130.0,3143.0,57.0,24.1,1.6,360.0,1260.0,900.0,130.0,6,1003731.0,276574.0,17609.315789473683
창원시,301,지선버스,속천종점,녹수아파트,530.0,2320.0,22.0,29.0,29.0,32255.0,55.0,17.3,2.0,330.0,1400.0,1070.0,24.0,44,1003731.0,276574.0,18249.654545454545
창원시,302,지선버스,속천종점,행암동종점,520.0,2310.0,54.0,123.0,123.0,13384.0,49.0,18.5,2.2,320.0,1390.0,1070.0,73.71428571428571,14,1003731.0,276574.0,20484.30612244898
창원시,302-1,지선버스,속천종점,수치,540.0,2140.0,108.0,120.0,120.0,9099.0,55.0,21.4,2.0,340.0,1300.0,960.0,111.42857142857144,8,1003731.0,276574.0,18249.654545454545
창원시,302-2,지선버스,속천어촌계,학개마을,600.0,2240.0,107.0,107.0,107.0,4615.0,65.0,26.2,2.4,360.0,1360.0,1000.0,107.0,9,1003731.0,276574.0,15442.015384615384
창원시,303,지선버스,속천종점,세스페데스공원,518.0,2245.0,42.0,56.0,56.0,18191.0,80.0,34.4,1.6,318.0,1365.0,1047.0,46.0,22,1003731.0,276574.0,12546.6375
창원시,305,지선버스,속천종점,부영4단지,500.0,2250.0,27.0,38.0,38.0,98312.0,140.0,57.2,1.9,300.0,1370.0,1070.0,30.142857142857142,35,1003731.0,276574.0,7169.507142857143
창원시,306,지선버스,속천종점,시티프라디움1차.리젠시빌란트,500.0,2227.0,42.0,56.0,56.0,17567.0,81.0,34.5,2.0,300.0,1347.0,1047.0,46.0,22,1003731.0,276574.0,12391.74074074074
