nodeid,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,geometry,weight
YSB4817,증산택지,35.30454,129.0019,2023-10-16,4817.0,38100,경상남도 양산시,양산,POINT (1136546.3852006202 1702035.64188478),2981.0
YSB4818,증산마을,35.30305,129.0004,2023-10-16,4818.0,38100,경상남도 양산시,양산,POINT (1136412.5027275044 1701868.3137253337),2981.0
YSB4819,증산마을입구,35.30102,128.9957,2023-10-16,4819.0,38100,경상남도 양산시,양산,POINT (1135988.5556852734 1701636.6989505445),2981.0
YSB4820,양산세무서.대방노블랜드3차,35.31126,129.0054,2023-10-16,4820.0,38100,경상남도 양산시,양산,POINT (1136853.2936304377 1702785.8160452629),88462.0
YSB4821,양우내안애3차,35.3126,129.007,2023-10-16,4821.0,38100,경상남도 양산시,양산,POINT (1136996.4979292117 1702936.6526690573),88462.0
YSB4822,힐데스하임,35.31412,129.0068,2023-10-16,4822.0,38100,경상남도 양산시,양산,POINT (1136975.7516877628 1703104.9666424936),246872.0
YSB4823,증산초.반도유보라4차후문,35.3161,129.0065,2023-10-16,4823.0,38100,경상남도 양산시,양산,POINT (1136945.1393089066 1703324.163279486),5374.0
YSB4824,증산(차고지),35.3036,129.0094,2023-10-16,4824.0,38100,경상남도 양산시,양산,POINT (1137229.893803171 1701941.7408126565),689326.0
YSB4825,범어정각사,35.33236,129.0002,2023-10-16,4825.0,38100,경상남도 양산시,양산,POINT (1136345.09779648 1705118.9495200575),66573.0
YSB4826,범어택지,35.33369,129.0014,2023-10-16,4826.0,38100,경상남도 양산시,양산,POINT (1136451.9315710864 1705268.1191179075),55251.0
YSB4827,범어대동아파트,35.3354,129.0054,2023-10-16,4827.0,38100,경상남도 양산시,양산,POINT (1136812.6092338178 1705463.3023321144),55251.0
YSB4828,가산마을,35.29857,129.0212,2023-10-16,4828.0,38100,경상남도 양산시,양산,POINT (1138311.3583636205 1701400.241339107),101605.0
YSB4829,석산초등학교,35.3212,129.0255,2023-10-16,4829.0,38100,경상남도 양산시,양산,POINT (1138663.7199364244 1703916.2570937257),147088.0
YSB4830,남양산e편한1차,35.31961,129.029,2023-10-16,4830.0,38100,경상남도 양산시,양산,POINT (1138984.6070019386 1703744.8062702606),147088.0
YSB4831,대동한마음.우방아파트,35.35143,129.0375,2023-10-16,4831.0,38100,경상남도 양산시,양산,POINT (1139702.5217552462 1707286.1007923747),110567.75859375
YSB4832,신기주공아파트,35.35343,129.0383,2023-10-16,4832.0,38100,경상남도 양산시,양산,POINT (1139771.771412372 1707509.0620296905),8316.0
YSB1426,하북면행정복지센터,35.48926,129.0878,2023-10-16,1426.0,38100,경상남도 양산시,양산,POINT (1144027.7308956247 1722646.0762947677),247493.0
YSB1427,보광중.고등학교,35.49179,129.0869,2023-10-16,1427.0,38100,경상남도 양산시,양산,POINT (1143941.572379099 1722925.3883373195),224849.0
YSB1428,초산마을,35.48724,129.0888,2023-10-16,1428.0,38100,경상남도 양산시,양산,POINT (1144122.0553545225 1722423.4798678027),224849.0
