시설명,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
서촌경로당,0.0003526868793629,128.356278517,35.240573181,POINT (1077908.4291221316 1694243.1568185664),군북면,38520320,함안군
서촌경로당,0.0003526868793629,128.406447786,35.337279756,POINT (1082375.1680560606 1705009.0310283366),대산면,38520340,함안군
서촌경로당,0.0003526868793629,127.852531888,35.092899603,POINT (1032132.7871792755 1677587.1683616708),양보면,38560390,하동군
원외경로당,1.2423255642762418e-05,127.945743688,35.157978211,POINT (1040596.6583163115 1684838.389778546),수곡면,38030450,진주시
신촌경로당,6.412468711017907e-05,128.626898423,35.205391893,POINT (1102575.9678974194 1690587.201206989),웅남동,38112570,창원시 성산구
신촌경로당,6.412468711017907e-05,128.58517819,35.095044509,POINT (1098911.6883365698 1678306.7755959781),구산면,38113310,창원시 마산합포구
신촌경로당,6.412468711017907e-05,128.476673075,35.134526761,POINT (1088978.3931101805 1682583.1821517553),진북면,38113330,창원시 마산합포구
신촌경로당,6.412468711017907e-05,128.153301969,35.158671496,POINT (1059500.0150881065 1685019.6818451178),문산읍,38030110,진주시
신촌경로당,6.412468711017907e-05,128.278110505,35.171632598,POINT (1070856.0301993813 1686538.8731734618),일반성면,38030350,진주시
신촌경로당,6.412468711017907e-05,128.124479566,35.324309614,POINT (1056759.4209126653 1703372.5641005111),미천면,38030420,진주시
신촌경로당,6.412468711017907e-05,128.044838398,35.239456779,POINT (1049572.3851524917 1693919.4149835655),명석면,38030430,진주시
신촌경로당,6.412468711017907e-05,127.944731312,35.164558463,POINT (1040501.1922362635 1685567.7290259078),수곡면,38030450,진주시
신촌경로당,6.412468711017907e-05,128.06139534,34.982774597,POINT (1051239.270102799 1665461.739229218),남양동,38060590,사천시
신촌경로당,6.412468711017907e-05,128.944521459,35.29773987,POINT (1131340.3846494455 1701203.8749963823),상동면,38070360,김해시
신촌경로당,6.412468711017907e-05,128.978872288,35.295204663,POINT (1134468.093185192 1700968.7392716256),대동면,38070370,김해시
신촌경로당,6.412468711017907e-05,128.747567601,35.356005316,POINT (1113350.3263494745 1707423.0004830887),하남읍,38080120,밀양시
신촌경로당,6.412468711017907e-05,128.735899863,35.504108799,POINT (1112084.7351161307 1723836.2494828806),내이동,38080520,밀양시
신촌경로당,6.412468711017907e-05,128.478334254,34.882180993,POINT (1089403.909819825 1654599.0368069496),사등면,38090360,거제시
신촌경로당,6.412468711017907e-05,128.69374467,34.998897231,POINT (1108935.3568642265 1667756.6965290974),장목면,38090390,거제시
신촌경로당,6.412468711017907e-05,128.919607177,35.372113594,POINT (1128956.7120800035 1709420.2154728866),원동면,38100320,양산시
신촌경로당,6.412468711017907e-05,128.360690319,35.229188382,POINT (1078320.7901910727 1692983.9995726016),군북면,38520320,함안군
신촌경로당,6.412468711017907e-05,128.46808129,35.360138482,POINT (1087951.6174461187 1707597.2445069074),대산면,38520340,함안군
신촌경로당,6.412468711017907e-05,128.542330219,35.390050888,POINT (1094662.5374735575 1710983.3032252924),길곡면,38530410,창녕군
신촌경로당,6.412468711017907e-05,128.542330219,35.390050888,POINT (1094662.5374735575 1710983.3032252924),길곡면,38530410,창녕군
신촌경로당,6.412468711017907e-05,128.123333718,34.938228988,POINT (1056923.3351174123 1660555.2424162598),하이면,38540330,고성군
신촌경로당,6.412468711017907e-05,128.165717674,35.027547801,POINT (1060727.9430065327 1670485.4988278379),상리면,38540340,고성군
신촌경로당,6.412468711017907e-05,128.213253283,35.072231906,POINT (1065028.8707513427 1675470.921704135),영현면,38540360,고성군
신촌경로당,6.412468711017907e-05,127.885437416,34.827630294,POINT (1035245.491974629 1648180.8773533918),남해읍,38550110,남해군
신촌경로당,6.412468711017907e-05,127.909185391,34.895967999,POINT (1037386.1505995895 1655767.7641912503),설천면,38550380,남해군
신촌경로당,6.412468711017907e-05,128.009856584,34.878543823,POINT (1046594.1135016073 1653877.7026671486),창선면,38550390,남해군
신촌경로당,6.412468711017907e-05,127.764020241,35.060368077,POINT (1024074.6054544457 1673954.5314092066),하동읍,38560110,하동군
신촌경로당,6.412468711017907e-05,127.642625902,35.219227781,POINT (1012980.0466818472 1691549.329350403),화개면,38560310,하동군
신촌경로당,6.412468711017907e-05,127.741552045,35.113451248,POINT (1022011.5794675279 1679836.1632531055),적량면,38560330,하동군
신촌경로당,6.412468711017907e-05,127.913257555,35.052212179,POINT (1037686.5780831412 1673096.259318378),진교면,38560380,하동군
신촌경로당,6.412468711017907e-05,127.895060831,35.116198187,POINT (1035999.0152269254 1680185.4978900258),북천면,38560400,하동군
신촌경로당,6.412468711017907e-05,127.927217407,35.165986751,POINT (1038905.5296620069 1685719.1366728288),옥종면,38560420,하동군
신촌경로당,6.412468711017907e-05,127.647040114,35.591986574,POINT (1013320.3077267953 1732890.2682488519),백전면,38580390,함양군
신촌경로당,6.412468711017907e-05,127.884134917,35.535103172,POINT (1034823.3081263391 1726639.4257253357),신원면,38590390,거창군
광명경로당,0.0010200127120262,127.95335187,35.159432388,POINT (1041288.8529738063 1685002.7891684172),수곡면,38030450,진주시
