격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
마마251332,0.0007192004379522,128.88138306831456,35.58740275291871,POINT (1125150.0000000005 1733249.999999999),산내면,38080340,밀양시
마마221272,0.0009613208567395,128.84737223278097,35.53369307935161,POINT (1122150.0000000012 1727249.9999999995),산외면,38080330,밀양시
마마007214,0.0006277828330292,128.61064369194452,35.48381227437893,POINT (1100750.0000000002 1721450),무안면,38080380,밀양시
마마276351,0.0002597275755727,128.9092704510443,35.60420961290156,POINT (1127650.0000000002 1735150.000000001),산내면,38080340,밀양시
마마276352,0.000230983092986,128.9092862593387,35.605110993201635,POINT (1127650.0000000019 1735250),산내면,38080340,밀양시
마마236333,0.0,128.86484586694485,35.58849275853596,POINT (1123650.0000000005 1733350.0000000016),산내면,38080340,밀양시
마마216159,0.0001639542530806,128.840166141523,35.43189360601839,POINT (1121650.0000000037 1715949.9999999995),삼랑진읍,38080110,밀양시
마마251330,0.0005446025002541,128.8813520984851,35.585599965422766,POINT (1125150.000000001 1733050),산내면,38080340,밀양시
마마204108,0.0007248827146395,128.82619596916624,35.38606611510079,POINT (1120449.9999999998 1710849.9999999998),삼랑진읍,38080110,밀양시
마마016208,0.0007880780053839,128.62048831174673,35.478311564476705,POINT (1101649.9999999995 1720849.9999999993),무안면,38080380,밀양시
마마140276,7.992520266415615e-05,128.75810164690833,35.5382638798327,POINT (1114049.999999999 1727650.0000000005),상동면,38080320,밀양시
마마017207,0.0008303415572071,128.6215779005915,35.47739982624556,POINT (1101750.0000000028 1720749.9999999995),무안면,38080380,밀양시
마마119106,7.237253449952341e-05,128.7326006673235,35.38525415823553,POINT (1111949.9999999995 1710650),하남읍,38080120,밀양시
마마189116,0.0003888700167081,128.8098009353537,35.393457858501435,POINT (1118949.9999999981 1711649.9999999995),삼랑진읍,38080110,밀양시
마마081183,0.0001551913586413,128.69179182427786,35.45508815173839,POINT (1108149.9999999998 1718350.0000000002),초동면,38080370,밀양시
마마092276,0.0005246918496386,128.70516286955052,35.5388046022545,POINT (1109250.0000000026 1727649.9999999998),부북면,38080310,밀양시
마마316331,0.0006008783283867,128.9530924764406,35.5856578385919,POINT (1131649.9999999995 1733149.9999999998),산내면,38080340,밀양시
마마250221,0.0,128.87856626863012,35.48735979273749,POINT (1125049.9999999995 1722150.0000000007),단장면,38080350,밀양시
마마126203,0.0005072153605077,128.74164784747703,35.47261768937666,POINT (1112649.9999999993 1720350.0000000007),부북면,38080310,밀양시
마마252331,0.000727803006139,128.8824710653418,35.58648870514336,POINT (1125250.0000000002 1733149.9999999998),산내면,38080340,밀양시
마마260312,0.0001617137774518,128.89100269680364,35.56926067387502,POINT (1126050 1731250.0000000005),산내면,38080340,밀양시
마마002226,0.0010496123049058,128.60528087455137,35.49468090861218,POINT (1100249.9999999993 1722650.0000000007),무안면,38080380,밀양시
마마170158,2.1407873623045403e-05,128.78948721366692,35.43154391880178,POINT (1117050.0000000007 1715849.9999999995),상남면,38080360,밀양시
마마150229,0.0009933212389366,128.76846359806495,35.495780378604394,POINT (1115050.0000000012 1722949.999999999),내일동,38080510,밀양시
마마084130,0.0001619687047732,128.6943913360789,35.407276860254484,POINT (1108450.000000003 1713050.0000000014),초동면,38080370,밀양시
마마088114,0.0,128.69858226726714,35.39280943622168,POINT (1108850.0000000002 1711449.9999999998),초동면,38080370,밀양시
마마213232,0.0010314098633028,128.8379515090856,35.497734513337974,POINT (1121350.0000000012 1723250),단장면,38080350,밀양시
마마184217,0.0001085302755524,128.8057660881042,35.48456327215916,POINT (1118450.0000000002 1721749.9999999998),내일동,38080510,밀양시
라마996201,0.0006376584860157,128.59836011852343,35.47220367542716,POINT (1099649.9999999993 1720149.9999999995),무안면,38080380,밀양시
마마244325,0.0008764903480056,128.87355080978887,35.58118127263312,POINT (1124449.999999999 1732549.999999999),산내면,38080340,밀양시
마마033253,0.0,128.63979710969363,35.518703229750315,POINT (1103350.0000000005 1725349.9999999998),무안면,38080380,밀양시
마마229242,0.0009056413156072,128.85573951615575,35.5065517824213,POINT (1122950.0000000005 1724250.0000000002),단장면,38080350,밀양시
마마219203,0.0006411581714453,128.8441298286378,35.471519716669604,POINT (1121950.000000001 1720349.9999999993),단장면,38080350,밀양시
마마015206,0.0006898434543475,128.61936120322667,35.47651879244033,POINT (1101550.000000001 1720650.0000000002),무안면,38080380,밀양시
마마050105,0.0010574443960635,128.65663114079453,35.385103790328195,POINT (1105049.999999999 1710549.9999999995),초동면,38080370,밀양시
마마256307,0.0001630842678626,128.88651206515203,35.56480454746919,POINT (1125650.0000000005 1730749.9999999998),산내면,38080340,밀양시
마마093127,0.0,128.7042611198806,35.40447399543177,POINT (1109350 1712749.9999999995),초동면,38080370,밀양시
마마247130,0.0010292452592665,128.87386492006445,35.40536855176617,POINT (1124750.0000000005 1713050.0000000007),삼랑진읍,38080110,밀양시
마마020210,0.00114817006201,128.6249218769982,35.4800735461517,POINT (1102050.0000000005 1721050.0000000005),무안면,38080380,밀양시
마마208156,0.0004954817991283,128.8313104980101,35.429286784014245,POINT (1120850.000000003 1715650.0000000005),삼랑진읍,38080110,밀양시
마마139090,0.0007739066472333,128.75439327128385,35.37060397791993,POINT (1113950.0000000002 1709049.9999999998),하남읍,38080120,밀양시
마마047156,0.0,128.6539838951529,35.43111186186967,POINT (1104749.9999999993 1715649.9999999998),무안면,38080380,밀양시
