행정기관코드,시도_시군구_읍면동명,계,남자,여자,유아,초등학생,중학생,고등학생,20대,30대,40대,50대,노인
48720320,경상남도 의령군 칠곡면,1135,552,583,10,14,8,5,35,63,72,195,733
48720330,경상남도 의령군 대의면,1024,499,525,26,25,9,11,43,51,60,154,645
48720340,경상남도 의령군 화정면,1495,748,747,27,23,18,17,61,68,102,269,910
48720350,경상남도 의령군 용덕면,1447,747,700,23,16,10,12,64,68,107,237,910
48720360,경상남도 의령군 정곡면,1340,656,684,16,28,10,11,49,47,84,209,886
48720370,경상남도 의령군 지정면,1782,901,881,22,20,11,20,71,63,116,277,1182
48720380,경상남도 의령군 낙서면,705,336,369,11,8,4,6,24,21,40,90,501
48720390,경상남도 의령군 부림면,2643,1285,1358,34,61,48,39,140,143,187,478,1513
48720400,경상남도 의령군 봉수면,943,501,442,16,16,8,12,28,56,58,115,634
48720415,경상남도 의령군 궁류면,1081,531,550,3,5,5,7,23,23,46,128,841
48720420,경상남도 의령군 유곡면,1102,538,564,10,8,9,9,23,39,54,165,785
48730250,경상남도 함안군 가야읍,17184,8728,8456,587,937,564,526,1518,1447,2444,3321,5840
48730253,경상남도 함안군 칠원읍,18101,9222,8879,775,1449,852,685,1365,1344,3349,3339,4943
48730310,경상남도 함안군 함안면,2373,1227,1146,38,40,36,32,107,109,188,394,1429
48730320,경상남도 함안군 군북면,5725,2973,2752,158,179,74,71,329,466,499,867,3082
48730330,경상남도 함안군 법수면,2704,1393,1311,30,51,27,16,113,112,219,473,1663
48730340,경상남도 함안군 대산면,3137,1584,1553,26,41,38,38,131,129,206,498,2030
48730350,경상남도 함안군 칠서면,4948,2617,2331,103,221,119,112,331,327,588,1003,2144
48730360,경상남도 함안군 칠북면,1840,971,869,18,15,14,17,68,72,118,286,1232
48730380,경상남도 함안군 산인면,2627,1331,1296,43,39,25,32,150,168,206,466,1498
48730390,경상남도 함안군 여항면,878,464,414,4,9,4,11,31,28,44,142,605
48740250,경상남도 창녕군 창녕읍,15627,7766,7861,670,839,436,393,1211,1431,2109,2745,5793
48740253,경상남도 창녕군 남지읍,11580,5801,5779,432,708,320,237,630,881,1586,2011,4775
48740310,경상남도 창녕군 고암면,1733,859,874,27,35,25,22,79,76,92,276,1101
48740320,경상남도 창녕군 성산면,1526,735,791,21,10,7,7,55,66,88,265,1007
48740330,경상남도 창녕군 대합면,3565,1812,1753,39,66,49,39,166,204,293,645,2064
48740340,경상남도 창녕군 이방면,2309,1108,1201,31,35,129,92,88,91,147,321,1375
48740350,경상남도 창녕군 유어면,1640,815,825,19,19,11,17,72,64,111,241,1086
48740360,경상남도 창녕군 대지면,2311,1204,1107,50,80,62,48,127,136,262,375,1171
48740370,경상남도 창녕군 계성면,2112,1074,1038,23,30,22,15,92,110,159,393,1268
48740380,경상남도 창녕군 영산면,4956,2523,2433,80,119,89,95,302,316,483,931,2541
48740390,경상남도 창녕군 장마면,1765,898,867,13,27,22,10,69,75,127,282,1140
48740400,경상남도 창녕군 도천면,2543,1269,1274,50,45,37,35,130,132,222,472,1420
48740410,경상남도 창녕군 길곡면,1461,736,725,7,21,17,15,52,64,113,231,941
48740420,경상남도 창녕군 부곡면,3441,1712,1729,53,51,40,33,153,180,252,585,2094
48820250,경상남도 고성군 고성읍,22986,11577,11409,734,1464,829,746,1844,1678,3321,4286,8084
48820310,경상남도 고성군 삼산면,1725,894,831,27,37,27,21,61,74,136,269,1073
48820320,경상남도 고성군 하일면,1773,880,893,18,19,40,39,76,64,118,252,1147
48820330,경상남도 고성군 하이면,2581,1339,1242,47,70,54,56,168,132,247,450,1357
48820340,경상남도 고성군 상리면,1576,802,774,5,27,22,19,72,65,115,251,1000
48820350,경상남도 고성군 대가면,1618,831,787,18,20,12,13,62,53,112,249,1079
48820360,경상남도 고성군 영현면,854,404,450,5,10,8,6,35,33,48,105,604
48820370,경상남도 고성군 영오면,1360,680,680,21,25,15,19,72,58,104,223,823
48820380,경상남도 고성군 개천면,1042,528,514,8,28,21,13,33,33,71,139,696
48820390,경상남도 고성군 구만면,973,488,485,11,18,6,9,43,32,53,151,650
48820400,경상남도 고성군 회화면,3438,1725,1713,56,116,91,116,186,195,325,596,1757
48820410,경상남도 고성군 마암면,1670,824,846,13,16,13,12,56,49,134,304,1073
48820420,경상남도 고성군 동해면,3020,1562,1458,20,42,45,46,140,137,239,539,1812
48820430,경상남도 고성군 거류면,4175,2153,2022,61,121,85,83,206,209,452,820,2138
48840250,경상남도 남해군 남해읍,12417,6074,6343,509,656,377,425,1198,997,1629,2180,4446
48840310,경상남도 남해군 이동면,3636,1799,1837,35,123,124,55,142,138,271,564,2184
48840320,경상남도 남해군 상주면,1576,770,806,27,63,29,24,74,72,140,258,889
48840330,경상남도 남해군 삼동면,3687,1794,1893,63,102,50,45,143,162,318,585,2219
48840340,경상남도 남해군 미조면,2078,1077,1001,27,59,41,37,133,92,203,386,1100
48840350,경상남도 남해군 남면,3270,1583,1687,37,64,38,54,142,125,252,550,2008
48840360,경상남도 남해군 서면,2435,1189,1246,24,50,32,21,88,83,178,346,1613
48840370,경상남도 남해군 고현면,3283,1555,1728,50,94,46,40,141,151,246,480,2035
48840380,경상남도 남해군 설천면,2659,1268,1391,32,39,32,25,105,87,153,391,1795
48840390,경상남도 남해군 창선면,5305,2521,2784,61,107,80,52,228,203,415,838,3321
48850250,경상남도 하동군 하동읍,9353,4564,4789,313,431,240,228,763,733,1107,1761,3777
48850310,경상남도 하동군 화개면,2838,1433,1405,32,63,50,53,156,108,249,641,1486
48850320,경상남도 하동군 악양면,3337,1646,1691,47,69,46,50,161,145,244,643,1932
48850330,경상남도 하동군 적량면,1838,911,927,28,47,25,24,92,86,118,301,1117
48850340,경상남도 하동군 횡천면,1775,882,893,34,24,20,21,70,77,118,275,1136
48850350,경상남도 하동군 고전면,1988,985,1003,19,37,26,32,80,85,157,320,1232
48850360,경상남도 하동군 금남면,3211,1642,1569,41,62,49,48,162,141,245,556,1907
48850370,경상남도 하동군 진교면,5603,2791,2812,178,222,115,132,352,302,632,972,2698
48850380,경상남도 하동군 양보면,1618,798,820,17,15,18,20,52,54,88,259,1095
48850390,경상남도 하동군 북천면,1563,767,796,34,26,22,15,73,55,112,261,965
48850400,경상남도 하동군 청암면,1327,698,629,29,48,20,12,47,68,85,230,788
48850410,경상남도 하동군 옥종면,4039,2042,1997,74,119,69,66,165,197,319,723,2307
48850420,경상남도 하동군 금성면,2739,1424,1315,69,63,41,45,202,166,284,522,1347
48860250,경상남도 산청군 산청읍,6610,3235,3375,220,279,196,144,499,512,731,1139,2890
48860310,경상남도 산청군 차황면,1357,679,678,20,27,16,10,37,38,83,221,905
48860320,경상남도 산청군 오부면,1014,503,511,11,25,14,17,34,28,75,148,662
48860330,경상남도 산청군 생초면,1865,908,957,18,37,29,19,72,59,91,274,1266
48860340,경상남도 산청군 금서면,2797,1373,1424,44,61,42,51,137,147,223,494,1598
48860350,경상남도 산청군 삼장면,1781,856,925,20,21,18,26,85,57,106,352,1096
48860360,경상남도 산청군 시천면,3956,1982,1974,39,93,69,94,193,167,324,850,2127
48860370,경상남도 산청군 단성면,5561,2813,2748,94,95,53,53,261,257,424,1064,3260
48860380,경상남도 산청군 신안면,5498,2723,2775,180,222,135,137,396,353,556,1038,2481
48860390,경상남도 산청군 생비량면,1131,558,573,13,20,9,18,35,40,77,162,757
48860400,경상남도 산청군 신등면,1981,994,987,14,30,19,33,103,55,135,336,1256
48870250,경상남도 함양군 함양읍,17249,8369,8880,693,952,552,533,1468,1361,2266,3194,6230
48870310,경상남도 함양군 마천면,2018,989,1029,18,26,23,35,73,66,134,400,1243
48870320,경상남도 함양군 휴천면,1448,723,725,19,18,13,16,35,55,95,247,950
48870330,경상남도 함양군 유림면,1555,745,810,23,26,22,18,52,51,95,227,1041
48870340,경상남도 함양군 수동면,2281,1149,1132,19,69,67,49,130,112,181,363,1291
48870350,경상남도 함양군 지곡면,1975,956,1019,19,39,24,22,82,88,124,345,1232
48870360,경상남도 함양군 안의면,4183,1966,2217,65,96,75,68,180,170,310,686,2533
48870370,경상남도 함양군 서하면,1311,625,686,20,19,14,8,51,49,76,208,866
48870380,경상남도 함양군 서상면,1725,827,898,12,41,22,25,81,71,107,284,1082
48870390,경상남도 함양군 백전면,1528,780,748,17,34,28,15,55,63,94,239,983
48870400,경상남도 함양군 병곡면,1259,632,627,7,24,18,21,69,50,69,256,745
48880250,경상남도 거창군 거창읍,39804,19637,20167,1798,2461,1637,1600,4027,3681,5600,6996,12004
48880310,경상남도 거창군 주상면,1483,745,738,13,22,18,13,58,42,87,242,988
48880320,경상남도 거창군 웅양면,1787,889,898,22,42,25,22,86,46,118,314,1112
48880330,경상남도 거창군 고제면,1359,688,671,14,16,14,15,62,47,80,243,868
48880340,경상남도 거창군 북상면,1533,748,785,21,34,18,15,53,57,98,244,993
